date,spend,impressions,clicks,leads,cpl
2023-01-01,121.33,11575,24,2,60.67
2023-01-02,804.2,74589,143,13,61.86
2023-01-03,511.05,71007,107,10,51.1
2023-01-04,505.4,60035,113,10,50.54
2023-01-05,561.91,80080,140,12,46.83
2023-01-06,382.31,55182,68,7,54.62
2023-01-07,207.31,27131,50,4,51.83
2023-01-08,248.2,30833,68,5,49.64
2023-01-09,379.78,55404,51,6,63.3
2023-01-10,518.97,60774,86,9,57.66
2023-01-11,413.31,36052,58,7,59.04
2023-01-12,465.92,40764,89,11,42.36
2023-01-13,378.18,56608,77,6,63.03
2023-01-14,363.63,33886,52,6,60.61
2023-01-15,250.53,25035,73,5,50.11
2023-01-16,372.86,52567,86,7,53.27
2023-01-17,421.29,48368,120,9,46.81
2023-01-18,519.78,65299,111,9,57.75
2023-01-19,332.56,40856,80,7,47.51
2023-01-20,535.16,53847,107,10,53.52
2023-01-21,229.47,29267,45,4,57.37
2023-01-22,248.36,28549,56,4,62.09
2023-01-23,408.64,61172,92,8,51.08
2023-01-24,378.8,46973,98,8,47.35
2023-01-25,174.41,16577,48,4,43.6
2023-01-26,591.72,86173,148,10,59.17
2023-01-27,745.56,96097,117,12,62.13
2023-01-28,183.33,22202,35,4,45.83
2023-01-29,305.2,41612,65,6,50.87
2023-01-30,724.32,68103,232,16,45.27
2023-01-31,174.12,14726,33,3,58.04
2023-02-01,438.06,50987,82,8,54.76
2023-02-02,858.97,73140,133,16,53.69
2023-02-03,363.91,51313,73,7,51.99
2023-02-04,64.96,7897,11,1,64.96
2023-02-05,283.38,26487,66,5,56.68
2023-02-06,382.4,37547,75,7,54.63
2023-02-07,347.21,30944,63,6,57.87
2023-02-08,585.89,69394,126,12,48.82
2023-02-09,292.63,42239,83,7,41.8
2023-02-10,365.54,41323,94,8,45.69
2023-02-11,315.45,39416,87,6,52.57
2023-02-12,305.06,27040,67,5,61.01
2023-02-13,126.51,10478,21,2,63.26
2023-02-14,485.46,48674,86,8,60.68
2023-02-15,45.43,5607,11,1,45.43
2023-02-16,624.92,87934,117,13,48.07
2023-02-17,439.63,61376,74,8,54.95
2023-02-18,477.77,38908,105,9,53.09
2023-02-19,127.33,13052,22,2,63.67
2023-02-20,552.91,57525,79,9,61.43
2023-02-21,605.96,89370,187,13,46.61
2023-02-22,477.29,47053,75,8,59.66
2023-02-23,207.43,17544,50,5,41.49
2023-02-24,50.64,4866,8,1,50.64
2023-02-25,270.86,28736,35,4,67.71
2023-02-26,159.33,17427,33,3,53.11
2023-02-27,550.25,80075,115,10,55.02
2023-02-28,614.66,89816,159,11,55.88
2023-03-01,362.05,46240,56,7,51.72
2023-03-02,603.33,78290,179,13,46.41
2023-03-03,385.42,42295,103,9,42.82
2023-03-04,221.43,28528,40,5,44.29
2023-03-05,252.55,31596,58,5,50.51
2023-03-06,416.35,56500,84,8,52.04
2023-03-07,423.08,42730,99,8,52.88
2023-03-08,158.18,14029,42,3,52.73
2023-03-09,389.58,40952,99,7,55.65
2023-03-10,375.07,48177,67,8,46.88
2023-03-11,269.04,29619,47,5,53.81
2023-03-12,354.49,29236,71,6,59.08
2023-03-13,216.62,25377,55,4,54.15
2023-03-14,162.2,21869,37,3,54.07
2023-03-15,186.19,23146,39,3,62.06
2023-03-16,375.35,38953,103,7,53.62
2023-03-17,261.56,34174,42,5,52.31
2023-03-18,343.34,43625,48,6,57.22
2023-03-19,432.02,43924,82,8,54.0
2023-03-20,423.68,56310,102,8,52.96
2023-03-21,567.5,77177,108,9,63.06
2023-03-22,591.33,51590,159,11,53.76
2023-03-23,492.91,64837,110,12,41.08
2023-03-24,266.62,29699,49,5,53.32
2023-03-25,247.42,26144,40,4,61.85
2023-03-26,288.69,37020,94,7,41.24
2023-03-27,452.88,42762,65,8,56.61
2023-03-28,492.61,65282,74,9,54.73
2023-03-29,713.62,100829,117,13,54.89
2023-03-30,187.47,24835,41,4,46.87
2023-03-31,362.82,53870,57,7,51.83
2023-04-01,501.07,56680,142,10,50.11
2023-04-02,177.1,19184,39,3,59.03
2023-04-03,842.33,104649,164,13,64.79
2023-04-04,221.15,24906,36,4,55.29
2023-04-05,279.55,32757,46,5,55.91
2023-04-06,295.79,29769,53,5,59.16
2023-04-07,635.55,73342,142,12,52.96
2023-04-08,241.94,19824,84,6,40.32
2023-04-09,108.56,11371,28,2,54.28
2023-04-10,469.07,42582,124,9,52.12
2023-04-11,701.95,87457,99,11,63.81
2023-04-12,279.57,26031,68,6,46.6
2023-04-13,524.41,76842,131,9,58.27
2023-04-14,276.85,28339,50,6,46.14
2023-04-15,283.86,37197,62,6,47.31
2023-04-16,499.33,56174,96,10,49.93
2023-04-17,562.93,73052,85,10,56.29
2023-04-18,488.57,47335,112,8,61.07
2023-04-19,618.97,66393,78,9,68.77
2023-04-20,412.53,47707,92,8,51.57
2023-04-21,700.72,88531,123,12,58.39
2023-04-22,189.44,18919,25,3,63.15
2023-04-23,298.3,38643,71,7,42.61
2023-04-24,225.38,20691,51,5,45.08
2023-04-25,317.95,42439,70,6,52.99
2023-04-26,614.27,72140,116,11,55.84
2023-04-27,590.8,63509,174,13,45.45
2023-04-28,629.5,80103,155,12,52.46
2023-04-29,228.3,24243,46,4,57.08
2023-04-30,412.62,44173,85,6,68.77
2023-05-01,477.42,56856,117,9,53.05
2023-05-02,600.27,59397,121,10,60.03
2023-05-03,396.26,46125,105,8,49.53
2023-05-04,529.56,46751,107,9,58.84
2023-05-05,457.43,47140,110,10,45.74
2023-05-06,362.85,32882,68,6,60.48
2023-05-07,228.35,20466,55,4,57.09
2023-05-08,534.08,78878,83,9,59.34
2023-05-09,480.56,46367,111,11,43.69
2023-05-10,359.21,52162,110,8,44.9
2023-05-11,405.62,46723,79,7,57.95
2023-05-12,454.59,56972,93,9,50.51
2023-05-13,481.6,71761,104,10,48.16
2023-05-14,678.63,62893,163,11,61.69
2023-05-15,396.34,59149,115,9,44.04
2023-05-16,296.4,34959,47,5,59.28
2023-05-17,492.63,55631,141,10,49.26
2023-05-18,47.05,5878,8,1,47.05
2023-05-19,451.53,45662,117,8,56.44
2023-05-20,272.77,24419,36,4,68.19
2023-05-21,241.67,28677,43,4,60.42
2023-05-22,345.27,28471,71,6,57.54
2023-05-23,654.7,61085,159,12,54.56
2023-05-24,366.35,30948,82,6,61.06
2023-05-25,476.68,43666,96,9,52.96
2023-05-26,497.21,62063,107,8,62.15
2023-05-27,378.72,46810,58,7,54.1
2023-05-28,338.57,47265,74,7,48.37
2023-05-29,193.16,16549,36,4,48.29
2023-05-30,517.72,45917,136,10,51.77
2023-05-31,544.57,78388,91,11,49.51
2023-06-01,44.41,4912,10,1,44.41
2023-06-02,441.78,36241,89,10,44.18
2023-06-03,231.45,27427,56,4,57.86
2023-06-04,292.47,28132,65,5,58.49
2023-06-05,250.42,25887,50,4,62.6
2023-06-06,538.59,55162,127,12,44.88
2023-06-07,794.34,74456,158,17,46.73
2023-06-08,438.57,35463,109,8,54.82
2023-06-09,365.88,36202,52,6,60.98
2023-06-10,144.56,16419,29,3,48.19
2023-06-11,458.32,61336,116,8,57.29
2023-06-12,781.37,87761,219,17,45.96
2023-06-13,426.5,34184,125,10,42.65
2023-06-14,487.61,56621,105,9,54.18
2023-06-15,624.5,51103,101,11,56.77
2023-06-16,240.82,29030,57,4,60.2
2023-06-17,295.83,42131,50,5,59.17
2023-06-18,318.28,31624,81,6,53.05
2023-06-19,496.4,56681,85,9,55.16
2023-06-20,145.27,18245,31,3,48.42
2023-06-21,262.89,26125,58,4,65.72
2023-06-22,378.72,55518,116,8,47.34
2023-06-23,392.33,39202,94,9,43.59
2023-06-24,217.7,25771,59,4,54.42
2023-06-25,0.0,0,0,0,0.0
2023-06-26,366.04,45112,97,8,45.76
2023-06-27,197.23,20116,51,4,49.31
2023-06-28,300.73,25940,55,6,50.12
2023-06-29,375.07,41426,59,7,53.58
2023-06-30,321.68,36570,53,6,53.61
2023-07-01,242.94,27271,46,4,60.74
2023-07-02,548.44,56870,99,9,60.94
2023-07-03,212.58,25785,48,5,42.52
2023-07-04,320.24,34219,54,6,53.37
2023-07-05,349.89,33595,93,8,43.74
2023-07-06,352.32,28923,117,8,44.04
2023-07-07,674.62,59713,136,11,61.33
2023-07-08,272.49,23324,44,5,54.5
2023-07-09,306.37,27862,85,6,51.06
2023-07-10,401.8,49708,95,7,57.4
2023-07-11,493.12,65260,130,9,54.79
2023-07-12,42.83,4177,9,1,42.83
2023-07-13,484.74,49939,82,7,69.25
2023-07-14,515.98,64618,156,11,46.91
2023-07-15,242.35,23796,48,6,40.39
2023-07-16,415.28,52300,117,9,46.14
2023-07-17,628.36,85943,121,11,57.12
2023-07-18,528.25,49092,103,8,66.03
2023-07-19,883.37,105738,192,16,55.21
2023-07-20,256.43,28605,41,5,51.29
2023-07-21,274.44,36342,87,6,45.74
2023-07-22,255.46,28097,71,5,51.09
2023-07-23,514.93,61355,110,9,57.21
2023-07-24,549.77,54123,115,9,61.09
2023-07-25,384.88,53704,90,8,48.11
2023-07-26,583.87,64874,174,12,48.66
2023-07-27,462.12,53993,79,7,66.02
2023-07-28,237.73,33504,52,4,59.43
2023-07-29,189.16,17595,26,3,63.05
2023-07-30,177.47,24149,44,3,59.16
2023-07-31,713.06,102517,123,13,54.85
2023-08-01,564.75,50770,125,10,56.48
2023-08-02,506.9,55020,97,9,56.32
2023-08-03,290.79,32128,81,6,48.47
2023-08-04,729.28,61001,96,11,66.3
2023-08-05,138.71,19470,43,3,46.24
2023-08-06,782.08,68073,109,12,65.17
2023-08-07,597.81,50426,167,13,45.99
2023-08-08,300.6,40856,79,6,50.1
2023-08-09,789.92,103937,188,14,56.42
2023-08-10,276.67,32774,56,5,55.33
2023-08-11,46.67,6509,14,1,46.67
2023-08-12,260.11,30754,86,6,43.35
2023-08-13,911.0,103198,240,18,50.61
2023-08-14,747.43,90697,97,12,62.29
2023-08-15,233.22,24089,46,4,58.3
2023-08-16,351.76,29737,56,7,50.25
2023-08-17,277.77,30603,68,5,55.55
