lead_id,date,state
SEARCH_000001,2023-01-01,TX
SEARCH_000002,2023-01-01,WA
SEARCH_000003,2023-01-02,FL
SEARCH_000004,2023-01-02,NY
SEARCH_000005,2023-01-02,TX
SEARCH_000006,2023-01-02,MI
SEARCH_000007,2023-01-02,KS
SEARCH_000008,2023-01-02,GA
SEARCH_000009,2023-01-02,NC
SEARCH_000010,2023-01-02,KS
SEARCH_000011,2023-01-02,TX
SEARCH_000012,2023-01-02,NY
SEARCH_000013,2023-01-02,CT
SEARCH_000014,2023-01-02,OH
SEARCH_000015,2023-01-02,CT
SEARCH_000016,2023-01-03,GA
SEARCH_000017,2023-01-03,CA
SEARCH_000018,2023-01-03,LA
SEARCH_000019,2023-01-03,OH
SEARCH_000020,2023-01-03,CO
SEARCH_000021,2023-01-03,CA
SEARCH_000022,2023-01-03,CA
SEARCH_000023,2023-01-03,TX
SEARCH_000024,2023-01-03,AR
SEARCH_000025,2023-01-03,WI
SEARCH_000026,2023-01-04,AR
SEARCH_000027,2023-01-04,CA
SEARCH_000028,2023-01-04,ME
SEARCH_000029,2023-01-04,CA
SEARCH_000030,2023-01-04,MO
SEARCH_000031,2023-01-04,OR
SEARCH_000032,2023-01-04,MD
SEARCH_000033,2023-01-04,CA
SEARCH_000034,2023-01-04,NY
SEARCH_000035,2023-01-04,MA
SEARCH_000036,2023-01-05,MD
SEARCH_000037,2023-01-05,CA
SEARCH_000038,2023-01-05,IN
SEARCH_000039,2023-01-05,TX
SEARCH_000040,2023-01-05,WV
SEARCH_000041,2023-01-05,LA
SEARCH_000042,2023-01-05,NY
SEARCH_000043,2023-01-05,CA
SEARCH_000044,2023-01-05,WA
SEARCH_000045,2023-01-05,FL
SEARCH_000046,2023-01-05,CA
SEARCH_000047,2023-01-05,GA
SEARCH_000048,2023-01-06,MO
SEARCH_000049,2023-01-06,IN
SEARCH_000050,2023-01-06,OH
SEARCH_000051,2023-01-06,MN
SEARCH_000052,2023-01-06,OH
SEARCH_000053,2023-01-06,CA
SEARCH_000054,2023-01-06,TX
SEARCH_000055,2023-01-07,AZ
SEARCH_000056,2023-01-07,MD
SEARCH_000057,2023-01-07,TX
SEARCH_000058,2023-01-07,AL
SEARCH_000059,2023-01-08,MI
SEARCH_000060,2023-01-08,NJ
SEARCH_000061,2023-01-08,NE
SEARCH_000062,2023-01-08,NY
SEARCH_000063,2023-01-08,MO
SEARCH_000064,2023-01-09,MI
SEARCH_000065,2023-01-09,IL
SEARCH_000066,2023-01-09,MS
SEARCH_000067,2023-01-09,FL
SEARCH_000068,2023-01-09,FL
SEARCH_000069,2023-01-09,CA
SEARCH_000070,2023-01-10,NY
SEARCH_000071,2023-01-10,VA
SEARCH_000072,2023-01-10,RI
SEARCH_000073,2023-01-10,MI
SEARCH_000074,2023-01-10,MD
SEARCH_000075,2023-01-10,KS
SEARCH_000076,2023-01-10,CA
SEARCH_000077,2023-01-10,IL
SEARCH_000078,2023-01-10,MI
SEARCH_000079,2023-01-11,ID
SEARCH_000080,2023-01-11,AL
SEARCH_000081,2023-01-11,IA
SEARCH_000082,2023-01-11,WI
SEARCH_000083,2023-01-11,NY
SEARCH_000084,2023-01-11,CO
SEARCH_000085,2023-01-11,CA
SEARCH_000086,2023-01-12,UT
SEARCH_000087,2023-01-12,OH
SEARCH_000088,2023-01-12,NY
SEARCH_000089,2023-01-12,NY
SEARCH_000090,2023-01-12,NC
SEARCH_000091,2023-01-12,MI
SEARCH_000092,2023-01-12,KY
SEARCH_000093,2023-01-12,TX
SEARCH_000094,2023-01-12,FL
SEARCH_000095,2023-01-12,GA
SEARCH_000096,2023-01-12,MA
SEARCH_000097,2023-01-13,OH
SEARCH_000098,2023-01-13,TX
SEARCH_000099,2023-01-13,FL
SEARCH_000100,2023-01-13,WA
SEARCH_000101,2023-01-13,CT
SEARCH_000102,2023-01-13,CA
SEARCH_000103,2023-01-14,CA
SEARCH_000104,2023-01-14,FL
SEARCH_000105,2023-01-14,MN
SEARCH_000106,2023-01-14,WI
SEARCH_000107,2023-01-14,CA
SEARCH_000108,2023-01-14,LA
