date,spend,impressions,clicks,leads,cpl
2023-01-01,49.78,5180,18,2,24.89
2023-01-02,154.44,14248,33,4,38.61
2023-01-03,327.92,34908,133,9,36.44
2023-01-04,79.64,6788,30,3,26.55
2023-01-05,193.21,19897,67,5,38.64
2023-01-06,174.45,23923,47,5,34.89
2023-01-07,54.12,6604,28,2,27.06
2023-01-08,112.66,11545,53,4,28.17
2023-01-09,318.36,30224,79,9,35.37
2023-01-10,118.05,12489,51,4,29.51
2023-01-11,157.55,17742,41,5,31.51
2023-01-12,253.91,21762,93,7,36.27
2023-01-13,246.13,21438,77,9,27.35
2023-01-14,62.11,5077,17,2,31.06
2023-01-15,131.79,11613,37,4,32.95
2023-01-16,204.83,30315,54,6,34.14
2023-01-17,115.04,13522,37,3,38.35
2023-01-18,293.32,34412,120,9,32.59
2023-01-19,166.51,24652,84,6,27.75
2023-01-20,205.61,16718,67,5,41.12
2023-01-21,103.41,10200,35,3,34.47
2023-01-22,52.65,7694,24,2,26.32
2023-01-23,108.02,13041,29,3,36.01
2023-01-24,178.6,16924,71,6,29.77
2023-01-25,145.27,18652,46,4,36.32
2023-01-26,148.06,14173,68,5,29.61
2023-01-27,176.42,24108,62,5,35.28
2023-01-28,212.96,30677,95,7,30.42
2023-01-29,70.17,5868,18,2,35.08
2023-01-30,268.1,24796,58,7,38.3
2023-01-31,114.72,14442,45,4,28.68
2023-02-01,130.36,18405,54,4,32.59
2023-02-02,315.81,27370,85,8,39.48
2023-02-03,87.53,9060,24,3,29.18
2023-02-04,155.24,20578,49,4,38.81
2023-02-05,200.68,18896,60,6,33.45
2023-02-06,165.11,19368,40,5,33.02
2023-02-07,174.96,24967,52,5,34.99
2023-02-08,273.0,35413,85,7,39.0
2023-02-09,41.1,4802,8,1,41.1
2023-02-10,68.37,5772,26,2,34.19
2023-02-11,139.87,17805,43,4,34.97
2023-02-12,261.26,39136,83,6,43.54
2023-02-13,125.9,13557,34,4,31.47
2023-02-14,125.06,15481,42,5,25.01
2023-02-15,77.49,7432,21,2,38.74
2023-02-16,228.67,22788,48,6,38.11
2023-02-17,212.17,20629,63,7,30.31
2023-02-18,116.46,17198,37,4,29.11
2023-02-19,70.22,10193,26,2,35.11
2023-02-20,128.84,16687,47,4,32.21
2023-02-21,134.04,18933,65,5,26.81
2023-02-22,138.55,12203,51,5,27.71
2023-02-23,156.89,15626,46,5,31.38
2023-02-24,26.4,2155,10,1,26.4
2023-02-25,192.64,21304,62,5,38.53
2023-02-26,97.47,9087,40,3,32.49
2023-02-27,91.69,7851,43,3,30.56
2023-02-28,262.59,23701,109,10,26.26
2023-03-01,281.63,23136,116,9,31.29
2023-03-02,259.2,26108,92,7,37.03
2023-03-03,34.72,4239,9,1,34.72
2023-03-04,106.11,9923,32,4,26.53
2023-03-05,134.92,14600,48,4,33.73
2023-03-06,220.35,26679,65,5,44.07
2023-03-07,209.69,25766,49,6,34.95
2023-03-08,185.26,16229,88,7,26.47
2023-03-09,54.68,4569,17,2,27.34
2023-03-10,347.5,35397,68,8,43.44
2023-03-11,125.59,12870,72,5,25.12
2023-03-12,84.9,7633,26,3,28.3
2023-03-13,295.1,39992,80,9,32.79
2023-03-14,426.35,41652,136,10,42.63
2023-03-15,244.83,21228,119,8,30.6
2023-03-16,522.83,54765,210,16,32.68
2023-03-17,304.7,26775,66,7,43.53
2023-03-18,103.66,10295,38,4,25.91
2023-03-19,70.53,9720,29,2,35.27
2023-03-20,408.68,53906,80,10,40.87
2023-03-21,86.24,11825,25,3,28.75
2023-03-22,118.68,9550,24,3,39.56
2023-03-23,146.02,15849,37,4,36.5
2023-03-24,570.59,76926,175,14,40.76
2023-03-25,112.2,15344,25,3,37.4
2023-03-26,189.61,27133,51,6,31.6
2023-03-27,75.72,10136,26,2,37.86
2023-03-28,353.82,44844,162,12,29.48
2023-03-29,277.57,41165,69,7,39.65
2023-03-30,267.43,34941,94,8,33.43
2023-03-31,158.04,12894,57,6,26.34
2023-04-01,206.87,23879,58,7,29.55
2023-04-02,87.59,11333,40,3,29.2
2023-04-03,182.31,26706,45,5,36.46
2023-04-04,272.2,38606,120,9,30.24
2023-04-05,76.39,9650,42,3,25.46
2023-04-06,151.52,14946,69,5,30.3
2023-04-07,293.16,26890,101,9,32.57
2023-04-08,56.78,6736,20,2,28.39
2023-04-09,140.44,15482,45,5,28.09
2023-04-10,405.72,47369,132,9,45.08
2023-04-11,225.81,23645,58,7,32.26
2023-04-12,355.66,48875,118,11,32.33
2023-04-13,208.79,19508,63,6,34.8
2023-04-14,289.12,24405,126,11,26.28
2023-04-15,259.76,21289,94,7,37.11
2023-04-16,123.97,16713,38,3,41.32
2023-04-17,76.73,6153,26,3,25.58
2023-04-18,319.02,31239,117,9,35.45
2023-04-19,257.73,27545,72,7,36.82
2023-04-20,179.11,15824,56,5,35.82
2023-04-21,152.21,16244,60,6,25.37
2023-04-22,147.21,21836,58,6,24.53
2023-04-23,65.3,6718,27,2,32.65
2023-04-24,95.67,12205,35,3,31.89
2023-04-25,402.07,48718,127,10,40.21
2023-04-26,271.31,38428,70,7,38.76
2023-04-27,176.53,18660,62,5,35.31
2023-04-28,110.76,12626,30,3,36.92
2023-04-29,126.91,13002,71,5,25.38
2023-04-30,149.67,19608,74,5,29.93
2023-05-01,234.55,22865,94,10,23.45
2023-05-02,123.8,16213,67,5,24.76
2023-05-03,65.29,7891,22,2,32.64
2023-05-04,305.21,28753,82,8,38.15
2023-05-05,214.44,26085,69,6,35.74
2023-05-06,113.55,10637,59,4,28.39
2023-05-07,62.38,7581,19,2,31.19
2023-05-08,241.04,28550,61,6,40.17
2023-05-09,148.7,15020,33,4,37.17
2023-05-10,177.64,22134,81,6,29.61
2023-05-11,93.11,7539,33,3,31.04
2023-05-12,165.18,15497,65,5,33.04
2023-05-13,170.42,23013,54,4,42.6
2023-05-14,156.74,17973,64,6,26.12
2023-05-15,333.29,43192,113,11,30.3
2023-05-16,35.2,3697,10,1,35.2
2023-05-17,228.56,21245,105,8,28.57
2023-05-18,128.78,15728,35,4,32.19
2023-05-19,217.44,20136,57,6,36.24
