lead_id,date,state
SOCIAL_000001,2023-01-01,LA
SOCIAL_000002,2023-01-01,WI
SOCIAL_000003,2023-01-02,WV
SOCIAL_000004,2023-01-02,LA
SOCIAL_000005,2023-01-02,MD
SOCIAL_000006,2023-01-02,OH
SOCIAL_000007,2023-01-03,IN
SOCIAL_000008,2023-01-03,CO
SOCIAL_000009,2023-01-03,CA
SOCIAL_000010,2023-01-03,NH
SOCIAL_000011,2023-01-03,IN
SOCIAL_000012,2023-01-03,CA
SOCIAL_000013,2023-01-03,MA
SOCIAL_000014,2023-01-03,IN
SOCIAL_000015,2023-01-03,UT
SOCIAL_000016,2023-01-04,OH
SOCIAL_000017,2023-01-04,TX
SOCIAL_000018,2023-01-04,MN
SOCIAL_000019,2023-01-05,NY
SOCIAL_000020,2023-01-05,AL
SOCIAL_000021,2023-01-05,IN
SOCIAL_000022,2023-01-05,CO
SOCIAL_000023,2023-01-05,OH
SOCIAL_000024,2023-01-06,NV
SOCIAL_000025,2023-01-06,TN
SOCIAL_000026,2023-01-06,NY
SOCIAL_000027,2023-01-06,IA
SOCIAL_000028,2023-01-06,TX
SOCIAL_000029,2023-01-07,IL
SOCIAL_000030,2023-01-07,CT
SOCIAL_000031,2023-01-08,MN
SOCIAL_000032,2023-01-08,CA
SOCIAL_000033,2023-01-08,NY
SOCIAL_000034,2023-01-08,OH
SOCIAL_000035,2023-01-09,AR
SOCIAL_000036,2023-01-09,AR
SOCIAL_000037,2023-01-09,NC
SOCIAL_000038,2023-01-09,OK
SOCIAL_000039,2023-01-09,KS
SOCIAL_000040,2023-01-09,NY
SOCIAL_000041,2023-01-09,AR
SOCIAL_000042,2023-01-09,MI
SOCIAL_000043,2023-01-09,TN
SOCIAL_000044,2023-01-10,TX
SOCIAL_000045,2023-01-10,OR
SOCIAL_000046,2023-01-10,MI
SOCIAL_000047,2023-01-10,FL
SOCIAL_000048,2023-01-11,PA
SOCIAL_000049,2023-01-11,TX
SOCIAL_000050,2023-01-11,ME
SOCIAL_000051,2023-01-11,VA
SOCIAL_000052,2023-01-11,CA
SOCIAL_000053,2023-01-12,TN
SOCIAL_000054,2023-01-12,TX
SOCIAL_000055,2023-01-12,CA
SOCIAL_000056,2023-01-12,FL
SOCIAL_000057,2023-01-12,CA
SOCIAL_000058,2023-01-12,MO
SOCIAL_000059,2023-01-12,KY
SOCIAL_000060,2023-01-13,WA
SOCIAL_000061,2023-01-13,WI
SOCIAL_000062,2023-01-13,NJ
SOCIAL_000063,2023-01-13,SC
SOCIAL_000064,2023-01-13,IN
SOCIAL_000065,2023-01-13,WI
SOCIAL_000066,2023-01-13,TX
SOCIAL_000067,2023-01-13,CA
SOCIAL_000068,2023-01-13,WA
SOCIAL_000069,2023-01-14,IA
SOCIAL_000070,2023-01-14,CA
SOCIAL_000071,2023-01-15,TX
SOCIAL_000072,2023-01-15,NY
SOCIAL_000073,2023-01-15,MT
SOCIAL_000074,2023-01-15,MO
SOCIAL_000075,2023-01-16,CA
SOCIAL_000076,2023-01-16,NM
SOCIAL_000077,2023-01-16,TX
SOCIAL_000078,2023-01-16,VA
SOCIAL_000079,2023-01-16,IL
SOCIAL_000080,2023-01-16,NY
SOCIAL_000081,2023-01-17,AR
SOCIAL_000082,2023-01-17,PA
SOCIAL_000083,2023-01-17,FL
SOCIAL_000084,2023-01-18,MI
SOCIAL_000085,2023-01-18,TX
SOCIAL_000086,2023-01-18,TX
SOCIAL_000087,2023-01-18,TX
SOCIAL_000088,2023-01-18,PA
SOCIAL_000089,2023-01-18,KY
SOCIAL_000090,2023-01-18,MD
SOCIAL_000091,2023-01-18,GA
SOCIAL_000092,2023-01-18,NY
SOCIAL_000093,2023-01-19,NC
SOCIAL_000094,2023-01-19,CA
SOCIAL_000095,2023-01-19,IA
SOCIAL_000096,2023-01-19,NJ
SOCIAL_000097,2023-01-19,NY
SOCIAL_000098,2023-01-19,OK
SOCIAL_000099,2023-01-20,CA
SOCIAL_000100,2023-01-20,AZ
SOCIAL_000101,2023-01-20,CA
SOCIAL_000102,2023-01-20,NJ
SOCIAL_000103,2023-01-20,NY
SOCIAL_000104,2023-01-21,GA
SOCIAL_000105,2023-01-21,NY
SOCIAL_000106,2023-01-21,OH
SOCIAL_000107,2023-01-22,CA
SOCIAL_000108,2023-01-22,NM
SOCIAL_000109,2023-01-23,FL
SOCIAL_000110,2023-01-23,MO
SOCIAL_000111,2023-01-23,NJ
SOCIAL_000112,2023-01-24,KS
SOCIAL_000113,2023-01-24,TX
SOCIAL_000114,2023-01-24,WA
SOCIAL_000115,2023-01-24,NY
SOCIAL_000116,2023-01-24,MA
SOCIAL_000117,2023-01-24,CA
SOCIAL_000118,2023-01-25,PA
SOCIAL_000119,2023-01-25,PA
SOCIAL_000120,2023-01-25,MN
SOCIAL_000121,2023-01-25,OK
SOCIAL_000122,2023-01-26,GA
SOCIAL_000123,2023-01-26,MO
SOCIAL_000124,2023-01-26,TX
SOCIAL_000125,2023-01-26,NY
SOCIAL_000126,2023-01-26,CA
SOCIAL_000127,2023-01-27,FL
SOCIAL_000128,2023-01-27,IL
SOCIAL_000129,2023-01-27,IL
SOCIAL_000130,2023-01-27,MD
SOCIAL_000131,2023-01-27,WI
SOCIAL_000132,2023-01-28,MA
SOCIAL_000133,2023-01-28,MA
SOCIAL_000134,2023-01-28,MS
SOCIAL_000135,2023-01-28,TX
SOCIAL_000136,2023-01-28,CA
SOCIAL_000137,2023-01-28,SC
SOCIAL_000138,2023-01-28,OH
SOCIAL_000139,2023-01-29,NJ
SOCIAL_000140,2023-01-29,NY
SOCIAL_000141,2023-01-30,CA
SOCIAL_000142,2023-01-30,RI
SOCIAL_000143,2023-01-30,CA
SOCIAL_000144,2023-01-30,OK
SOCIAL_000145,2023-01-30,CA
SOCIAL_000146,2023-01-30,TX
SOCIAL_000147,2023-01-30,GA
SOCIAL_000148,2023-01-31,TN
SOCIAL_000149,2023-01-31,FL
SOCIAL_000150,2023-01-31,NY
SOCIAL_000151,2023-01-31,CA
SOCIAL_000152,2023-02-01,MD
SOCIAL_000153,2023-02-01,IN
SOCIAL_000154,2023-02-01,FL
SOCIAL_000155,2023-02-01,CA
SOCIAL_000156,2023-02-02,NH
SOCIAL_000157,2023-02-02,NY
SOCIAL_000158,2023-02-02,KY
SOCIAL_000159,2023-02-02,CA
SOCIAL_000160,2023-02-02,VA
SOCIAL_000161,2023-02-02,TN
SOCIAL_000162,2023-02-02,NY
SOCIAL_000163,2023-02-02,TX
SOCIAL_000164,2023-02-03,UT
SOCIAL_000165,2023-02-03,CO
SOCIAL_000166,2023-02-03,MO
SOCIAL_000167,2023-02-04,MI
SOCIAL_000168,2023-02-04,NV
SOCIAL_000169,2023-02-04,PA
SOCIAL_000170,2023-02-04,KS
SOCIAL_000171,2023-02-05,CA
SOCIAL_000172,2023-02-05,FL
SOCIAL_000173,2023-02-05,SC
SOCIAL_000174,2023-02-05,GA
SOCIAL_000175,2023-02-05,TN
SOCIAL_000176,2023-02-05,AZ
SOCIAL_000177,2023-02-06,VA
SOCIAL_000178,2023-02-06,NJ
SOCIAL_000179,2023-02-06,MT
SOCIAL_000180,2023-02-06,IL
SOCIAL_000181,2023-02-06,IL
SOCIAL_000182,2023-02-07,TX
SOCIAL_000183,2023-02-07,MI
SOCIAL_000184,2023-02-07,KY
SOCIAL_000185,2023-02-07,OR
SOCIAL_000186,2023-02-07,TX
SOCIAL_000187,2023-02-08,TN
SOCIAL_000188,2023-02-08,OH
SOCIAL_000189,2023-02-08,MA
SOCIAL_000190,2023-02-08,RI
SOCIAL_000191,2023-02-08,AZ
SOCIAL_000192,2023-02-08,TX
SOCIAL_000193,2023-02-08,CA
SOCIAL_000194,2023-02-09,TX
SOCIAL_000195,2023-02-10,NC
SOCIAL_000196,2023-02-10,WA
SOCIAL_000197,2023-02-11,TN
SOCIAL_000198,2023-02-11,NE
SOCIAL_000199,2023-02-11,FL
SOCIAL_000200,2023-02-11,MD
SOCIAL_000201,2023-02-12,OR
SOCIAL_000202,2023-02-12,AZ
SOCIAL_000203,2023-02-12,NC
SOCIAL_000204,2023-02-12,NY
SOCIAL_000205,2023-02-12,SC
SOCIAL_000206,2023-02-12,WI
SOCIAL_000207,2023-02-13,OR
SOCIAL_000208,2023-02-13,NM
SOCIAL_000209,2023-02-13,FL
SOCIAL_000210,2023-02-13,CA
SOCIAL_000211,2023-02-14,NY
SOCIAL_000212,2023-02-14,WY
SOCIAL_000213,2023-02-14,NV
SOCIAL_000214,2023-02-14,IL
SOCIAL_000215,2023-02-14,NY
SOCIAL_000216,2023-02-15,TX
SOCIAL_000217,2023-02-15,MA
SOCIAL_000218,2023-02-16,AR
SOCIAL_000219,2023-02-16,OH
SOCIAL_000220,2023-02-16,CA
SOCIAL_000221,2023-02-16,NH
SOCIAL_000222,2023-02-16,ID
SOCIAL_000223,2023-02-16,NC
SOCIAL_000224,2023-02-17,VA
SOCIAL_000225,2023-02-17,VA
SOCIAL_000226,2023-02-17,CA
SOCIAL_000227,2023-02-17,TX
SOCIAL_000228,2023-02-17,MO
SOCIAL_000229,2023-02-17,CA
SOCIAL_000230,2023-02-17,TX
SOCIAL_000231,2023-02-18,IA
SOCIAL_000232,2023-02-18,MA
SOCIAL_000233,2023-02-18,CA
SOCIAL_000234,2023-02-18,CA
SOCIAL_000235,2023-02-19,FL
SOCIAL_000236,2023-02-19,FL
SOCIAL_000237,2023-02-20,IA
SOCIAL_000238,2023-02-20,GA
SOCIAL_000239,2023-02-20,NE
SOCIAL_000240,2023-02-20,CA
SOCIAL_000241,2023-02-21,AZ
SOCIAL_000242,2023-02-21,NJ
SOCIAL_000243,2023-02-21,NY
SOCIAL_000244,2023-02-21,WV
SOCIAL_000245,2023-02-21,WA
SOCIAL_000246,2023-02-22,CA
